time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450600000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	6.90074	2.94257	3.00861	1.33627	1.1101	radar	2.76677e-321	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	6.81931	3.04683	2.98955	1.43018	1.1869	radar	2.76677e-321	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	6.82036	2.97696	2.93302	1.38631	1.15331	radar	2.76677e-321	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	6.73086	2.99669	2.87341	1.42486	1.18396	radar	2.76677e-321	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	6.65534	3.03953	2.82957	1.47583	1.22557	radar	2.76677e-321	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	6.66158	3.14715	2.91667	1.54204	1.27688	radar	2.76677e-321	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	6.6689	3.10288	2.85557	1.51663	1.26071	radar	2.76677e-321	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	6.64401	3.13061	2.89593	1.53579	1.27148	radar	2.76677e-321	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	6.61886	3.10623	2.81227	1.5339	1.27497	radar	2.76677e-321	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	6.55505	3.04935	2.73404	1.51398	1.25808	radar	2.76677e-321	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	6.49363	3.15945	2.72734	1.60698	1.33495	radar	2.76677e-321	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	6.48705	3.16385	2.68951	1.6167	1.34638	radar	2.76677e-321	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	6.39814	3.21737	2.68814	1.67193	1.38652	radar	2.76677e-321	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	5.83987	1.43371	2.2049	0.51914	0.3528	lidar	3.95253e-323	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.3891	3.23127	2.68578	1.68411	1.39662	radar	2.76677e-321	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
